"Data Source","Indicadores del desarrollo mundial",
"Guinea Ecuatorial","GNQ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grecia","GRC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1.3","1.3","1.4","1.2","1.4","1.6","1.9","1.6","1.4","","1.2","0.8","1.1","1","1.2","1","1.1","1.3","1.3","1.5","1.6","1.5","1.4","0.9","0.8","0.8","0.7","","",
"Granada","GRD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8","5.9","13.7","8.8","5.8","10.7","11.6","10.6","15.4","6.7","9.6","3.8","13.3","5.7","7.5","5.6","10.2","11.1","","",
"Groenlandia","GRL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","21.5","10.7","19.7","5.4","19.7","10.7","19.6","23.1","30.2","21.2","8.8","19.3","17.6","14","14.1","14.1","17.6","19.4","1.8","14.2","12.4","7.1","7.1","5.3","","","",
"Guatemala","GTM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.5","32.5","31.8","31.3","34","36.7","29.7","23.3","24.9","27.1","29.7","33.9","35.2","40.8","43.9","42.2","44.9","45.4","40.7","38","33.8","33.7","31.4","29.4","27.3","26.1","","",
"Guam","GUM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","5.1","1.3","5.1","5.7","4.4","6.9","0.6","0.6","3.1","1.9","2.5","","","","","","","","",
"Guyana","GUY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1","25.8","14","15.5","14.2","14.3","11.6","11.4","14.9","12","10.1","10.6","19","27.8","17.4","18.9","20.4","15.4","21.2","15.7","18.8","17.4","18.5","20.4","19.5","19.4","18.4","14.8","","",
"Ingreso alto","HIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong, Región Administrativa Especial","HKG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","1.6","1.8","1.4","1.6","1.2","1.2","1.6","1","1","0.6","1","1","0.8","0.7","0.5","0.5","0.3","0.5","0.7","0.5","0.2","0.4","0.9","0.4","0.3","0.4","0.3","","",
"Honduras","HND","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","13.8","18.2","23.2","30.3","26.9","","","","40.3","48.7","52.1","52.8","57.9","50.5","43.6","41.3","46.5","56.6","65.7","76.1","85.1","84.3","74.3","66.9","57.5","56.5","41.7","","",
"Países pobres muy endeudados (PPME)","HPC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croacia","HRV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","9.2","8.2","4.6","3.1","3.6","2.7","2.6","2.3","2.5","2.3","1.8","1.7","1.6","1.9","1.6","1.7","1.4","1.6","1.1","1.4","1.1","1.2","1.1","0.8","0.9","1","1.1","","",
"Haití","HTI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.1","6.1","6.8","9","10","10","9.3","10","9.5","","","",
"Hungría","HUN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","3","2.9","2.9","3","2.9","2.6","2.8","2.8","2.5","2","2.5","2","2.2","2.1","1.6","1.7","1.5","1.8","1.4","1.4","1.5","1.3","1.6","1.5","2.3","2.1","2.5","","",
"Sólo BIRF","IBD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BIRF y la AIF","IBT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"total de la AIF","IDA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"mezcla de la AIF","IDB","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","1","1","","","0.7","0.6","","","","0.6","0.5","0.4","0.6","0.6","0.5","0.5","0.6","0.5","0.4","","",
"Sólo AIF","IDX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isla de Man","IMN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","2.5","2.4","3.6","1.2","0","","","",
"India","IND","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.1","5.5","5.5","5.2","5","4.8","4.8","4.8","4.9","4.6","4.6","4.3","4.2","4","4.1","3.9","3.9","3.8","3.8","3.8","3.8","3.8","3.8","3.6","3.7","3.4","3.2","","","",
"No clasificado","INX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Irlanda","IRL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.6","0.7","0.6","0.7","1.2","1.1","1","1","1","1","1.3","1.3","0.9","0.7","1.2","1.4","1.8","1.1","1.2","1.2","0.9","1.1","1.1","1.1","0.7","0.8","0.9","","",
"Irán, República Islámica del","IRN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","2.9","","","","","3","","","","2.6","2.5","","","","","",
"Iraq","IRQ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.7","6.5","7.6","5.9","6.5","","","","","","","","","","","","","","15.8","8.5","8.7","8.3","8.2","9.9","","","","","","",
"Islandia","ISL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.4","0.7","0","0.7","1.8","0.4","1.4","0","1","1","0","0.7","0","0.3","0.6","0.9","0.3","0.3","0.6","0.9","0.3","0.9","","",
"Israel","ISR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","2.4","3.1","2.8","2.7","2.1","2.1","2.8","2.5","2.3","2.4","3.6","3.6","3.1","2.7","2.5","2.7","1.8","1.9","1.8","2","2","1.7","","1.5","1.4","","","","",
"Italia","ITA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","3.4","2.6","1.9","1.7","1.8","1.7","1.5","1.6","1.4","1.3","1.2","1.1","1.2","1.2","1","1.1","1.1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.7","","","",
"Jamaica","JAM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4","23.2","25.6","26.4","27.5","30.7","36.1","40.1","32.9","32.4","33.4","42.5","38.8","35.9","53.9","61","48.5","57.1","58","60","51.4","40","38.7","42.1","35.1","42.1","47","57","","",
"Jordania","JOR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.2","3.6","3.9","4.5","0.8","1","0.9","","","","","","","","1.2","1.7","1.8","1.8","1.5","1.6","1.9","2","1.7","1.9","1.6","1.4","1.4","","",
"Japón","JPN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","0.6","0.6","0.6","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.4","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.2","","",
"Kazajstán","KAZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.9","9.1","11.4","15.8","15.7","15.3","16.6","16.6","16.5","15.7","15.4","14.4","13","13.1","13.6","","","","11.3","10.9","8.5","8.5","7.5","6.5","5.2","4.8","","5","","",
"Kenya","KEN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3","3","2.9","3.1","4.7","4.7","5.3","5.4","5.5","5","4.8","4.9","5","","",
"Kirguistán","KGZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8","8.3","10.5","12.2","12.1","11.7","11.2","9.3","8.9","8.9","8.7","7.8","8.2","8.4","8.3","9.7","8.7","8","7.9","7.8","16.8","8.5","6.8","5.3","5.5","5.2","4.5","4.2","","",
"Camboya","KHM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","6","2.9","3.7","4.9","2.8","6.8","4.9","4.7","3.3","3.4","4","3.9","3.4","3","2.9","2.4","2.3","2.3","1.8","","","","","","","","",
"Kiribati","KIR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1.3","0","0","0","3.6","4.7","","","","","","","7.1","1","3.9","10.5","7.5","","","","","","","",
"Saint Kitts y Nevis","KNA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","9.2","16","18.1","13.4","6.6","13","10.7","21.1","22.9","16.5","34.5","32.1","45.7","53.1","40.8","65.4","34.2","","","","","","","",
"Corea, República de","KOR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","0.5","0.7","0.5","0.5","0.5","0.6","0.8","0.8","0.8","0.9","0.8","0.8","0.9","0.8","0.9","0.9","0.9","1.1","1","0.8","0.9","0.7","0.7","0.7","0.7","0.6","","",
"Kuwait","KWT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1.8","1.1","1.3","1.9","1.8","1.9","2.4","1.4","1.7","2","1.8","1.8","","","","","","","",
"América Latina y el Caribe (excluido altos ingresos)","LAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"República Democrática Popular Lao","LAO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Líbano","LBN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","3.5","3.8","3.7","3.9","4.5","4.3","3.9","4","","","",
"Liberia","LBR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","4.8","3.8","3.3","4","3.2","","","","","","","",
"Libia","LBY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Santa Lucía","LCA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","7.1","9.9","5.6","6.9","10.9","8.1","8.6","9.1","10.3","14.7","21.5","26.3","22.4","22.8","25","26","17.3","23","22.8","25.5","26.5","22.3","18.8","19.3","15.8","16.9","29.6","","",
"América Latina y el Caribe","LCN","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países menos desarrollados: clasificación de las Naciones Unidas","LDC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Países de ingreso bajo","LIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","3","0","0","0","0","2.9","0","0","0","2.8","0","2.8","0","0","0","2.7","0","0","","","",
"Sri Lanka","LKA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5","","","","","8.8","9.7","10","","10.3","","","","6.8","7.1","6.2","10.4","","10","5.5","3.8","3.6","3.3","3","2.7","2.4","2.5","2.3","","",
"Países de ingreso mediano bajo","LMC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ingreso mediano y bajo","LMY","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.4","33.6","38.4","39.1","48.1","","","","","","","","","","","","","45.1","37.6","35.8","37.4","34.5","30.7","31.1","","41.2","","","","",
"avanzada del dividendo demográfico","LTE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lituania","LTU","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","5.8","7.2","11.3","12.7","13.8","11.2","10.9","8.7","8.8","10.6","10.2","8.5","10.1","10.1","11.1","8.7","8.5","9.3","8","7","6.9","6.7","6.6","5.4","5.9","5.2","4.5","","",
"Luxemburgo","LUX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","0.5","1","1","0.9","1.4","0.9","2","1.4","0.7","0.4","0.9","1.5","1.5","1.6","1","2","0.8","0","0.2","0.7","0.9","0.9","0.3","","",
"Letonia","LVA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","15","13.7","11.5","10.8","11.1","10.3","9.5","10","9.3","9.2","8.8","7.9","5.6","5.8","4.3","4.6","5","3.3","3.3","3.4","2.5","3.2","3.4","3.5","4.2","","",
"Región Administrativa Especial de Macao, China","MAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","1.9","3.5","4","2.1","4.3","7.5","5.9","8.8","2.3","1.8","0.4","1.7","0.8","0.8","2","1.2","0.8","1.1","0.4","0.7","0.7","0.2","0","0.2","0.2","0.3","","",
"Isla de San Martín (parte francesa)","MAF","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","5.6","22.5","22.8","17.1","28.5","","","",
"Marruecos","MAR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.5","0.5","0.6","0.7","","","2.6","2","1.9","1.6","1.9","1.6","1.7","1.6","1.5","1.6","1.7","1.3","1.4","1.4","1.3","1.1","1.3","1","1.2","1.7","2.1","","",
"Mónaco","MCO","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","3","3","2.9","0","0","0","0","0","0","0","","0","","","","",
"República de Moldova","MDA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","6.6","11.4","8.9","9.2","9.3","9.3","9.7","8.8","9.3","10.3","9.8","9.6","7.6","6.6","7.1","6.3","5.3","5.7","6","6.5","7.5","5.6","4.2","3.2","","","","","",
"Madagascar","MDG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldivas","MDV","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","0.8","","2.3","","","","2.4","2.7","1.3","","","","0.9","1.4","1.7","1.6","0.8","2.6","0.8","","","","","","",
"Oriente Medio y Norte de África","MEA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"México","MEX","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17.4","18.7","17.7","17.2","16.6","15.2","13.9","13.8","12.2","10.6","10","9.7","9.5","8.7","9.1","9.5","7.9","12.3","17.1","22","22.9","21.5","18.8","16.1","16.5","19.3","24.8","","",
"Islas Marshall","MHL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3","4.1","","4","","","","","","","","","","","","","","","","","","","","","","","","","",
" Ingreso mediano","MIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macedonia del Norte","MKD","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","1.9","2.3","2.7","2.9","3.4","2.4","2.1","2.2","2","1.7","1.7","2.1","1.4","1.4","1.1","1.7","1.2","0.9","1.5","","",
"Malí","MLI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1","0.8","1.6","1.9","0.8","","","","1.3","2.5","1","1.5","1.5","0","1.7","1","0","1","1.5","1","1","0.7","2.9","1.7","1.4","0.9","","","","",
"Myanmar","MMR","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","3.7","","","","","2.3","2","1.7","1.6","1.5","1.4","1.6","1.5","1.6","1.8","1.6","2.1","2.8","2.4","2.4","2.2","2.3","","","",
"Oriente Medio y Norte de África (excluido altos ingresos)","MNA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","3.3","2.3","3.6","4","1.9","3.9","3.4","2.4","3.4","2.7","1.6","3.2","2.7","4.5","2.4","","",
"Mongolia","MNG","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9","13.3","15.8","13.1","11.3","8.1","8.2","8.8","9.6","7.1","7.1","7.3","6.2","5.7","6.2","","",
"Mariana","MNP","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9","5.4","5.3","5.6","5.2","4.1","3.8","4.4","3.5","3.6","3.4","","","","","","","","",
"Mauritania","MRT","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauricio","MUS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","2.7","2.9","1.9","2.4","2.2","3","2.1","2.7","2","2.2","","","3.2","2.9","3","4.1","3.6","3.9","3.1","2.6","2.7","2.3","2.8","1.5","1.7","1.8","","","",
"Malawi","MWI","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.2","7.7","4.7","2.4","3.2","1.5","6.1","5","5.5","2.2","3.4","2.2","1.7","","","","","","","",
"Malasia","MYS","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7","2.1","1.9","1.8","1.7","1.9","2.1","2.5","2.8","2.6","2.4","2.2","2.3","2.3","2","2.4","2.2","2.4","2.2","2","1.9","1.9","2.1","2.1","","","","","","",
"América del Norte","NAC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","20.7","18.6","22.5","20.4","20","18.3","17.6","","17.5","","","","16.8","18.2","14.4","13.9","17.1","","","","","","","",
"Nueva Caledonia","NCL","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","5","4.5","3.2","","","","","","","","","","",
"Níger","NER","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","4.4","","","","","","","",
"Nigeria","NGA","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Homicidios intencionales (por cada 100.000 habitantes)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2","17.3","19.1","17.2","16","15.3","14.1","14.2","13.1","11.3","9.5","10.5","10.7","12.1","12.2","13.6","13.2","12.9","13.2","14.2","13.7","12.7","11.5","10","8.7","8.6","7.4","","","",
